instance,optimal,min,mean,gap_min,gap_mean
comp01.ctt,5,252,330.8,49.4,65.16
comp02.ctt,24,257,291.8,9.708333333333334,11.158333333333335
comp03.ctt,64,285,295.4,3.453125,3.615625
comp04.ctt,35,351,369.4,9.028571428571428,9.554285714285713
comp05.ctt,284,219,301.6,-0.22887323943661972,0.0619718309859155
comp06.ctt,27,668,729.0,23.74074074074074,26.0
comp07.ctt,6,771,931.8,127.5,154.3
comp08.ctt,37,294,326.0,6.945945945945946,7.810810810810811
comp09.ctt,96,216,224.0,1.25,1.3333333333333335
comp10.ctt,4,354,394.4,87.5,97.6
comp11.ctt,0,150,268.0,0,0.0
comp12.ctt,294,145,195.0,-0.5068027210884354,-0.336734693877551
comp13.ctt,59,350,384.6,4.932203389830509,5.51864406779661
comp14.ctt,51,254,257.6,3.980392156862745,4.050980392156863
comp15.ctt,62,285,305.2,3.596774193548387,3.9225806451612906
comp16.ctt,18,373,435.8,19.72222222222222,23.21111111111111
comp17.ctt,56,379,474.2,5.767857142857143,7.467857142857143
comp18.ctt,61,42,52.2,-0.3114754098360656,-0.14426229508196722
comp19.ctt,57,273,283.8,3.789473684210526,3.9789473684210526
comp20.ctt,4,758,846.4,188.5,210.6
comp21.ctt,74,277,289.8,2.7432432432432434,2.9162162162162164
