iteration,bestSwarmValue
0,224
1,226
2,239
3,245
4,247
5,283
6,335
7,343
8,347
9,347
10,386
11,387
12,387
13,455
14,509
15,458
16,458
17,464
18,456
19,489
20,488
21,495
22,495
23,500
24,543
25,543
26,548
27,548
28,599
29,660
30,664
31,726
32,740
33,790
34,790
35,829
36,834
37,828
38,877
39,877
40,909
41,908
42,899
43,923
44,923
45,927
46,925
47,882
48,818
49,818
50,823
51,823
52,823
53,813
54,813
55,808
56,806
57,806
58,767
59,824
60,859
61,857
62,857
63,872
64,872
65,870
66,864
67,867
68,880
69,934
70,981
71,998
72,961
73,994
74,1045
75,1045
76,1092
77,1056
78,1091
79,1095
80,1105
81,1070
82,1115
83,1115
84,1119
85,1132
86,1083
87,1091
88,1107
89,1060
90,1060
91,1065
92,1047
93,1043
94,1038
95,1024
96,995
97,997
98,996
99,996
100,1000
101,970
102,993
103,993
104,994
105,994
106,994
107,1011
108,998
109,1008
110,1008
111,1011
112,1008
113,983
114,980
115,978
116,978
117,978
118,975
119,980
120,981
121,1006
122,1029
123,1029
124,1044
125,1044
126,1003
127,1054
128,1101
129,1102
130,1118
131,1114
132,1120
133,1115
134,1124
135,1112
136,1108
137,1103
138,1102
139,1098
140,1129
141,1129
142,1178
143,1178
144,1194
145,1254
146,1246
147,1237
148,1145
149,1145
150,1192
151,1183
152,1171
153,1184
154,1188
155,1195
156,1195
157,1204
158,1195
159,1239
160,1246
161,1246
162,1237
163,1242
164,1235
165,1210
166,1255
167,1257
168,1257
169,1243
170,1238
171,1236
172,1232
173,1232
174,1247
175,1249
176,1253
177,1272
178,1270
179,1310
180,1283
181,1286
182,1290
183,1298
184,1286
185,1320
186,1324
187,1320
188,1351
189,1375
190,1336
191,1388
192,1425
193,1386
194,1428
195,1429
196,1408
197,1396
198,1391
199,1417
200,1393
201,1383
202,1388
203,1398
204,1416
205,1380
206,1419
207,1436
208,1375
209,1377
210,1377
211,1432
212,1387
213,1387
214,1340
215,1342
216,1343
217,1249
218,1256
219,1224
220,1226
221,1226
222,1226
223,1228
224,1228
225,1225
226,1223
227,1267
228,1310
229,1304
230,1287
231,1287
232,1280
233,1277
234,1281
